event_id,filename,sentence_count,counts,lower_idx,upper_idx,length,anumber,report_type,tokens,prop,chars,prob,pred,event_text,DATE,LOCATION,MINERAL,ORE_DEPOSIT,ROCK,STRAT,TIMESCALE,TRIGGER
a098825_cb_e77_2013a_11553329_284_287,a098825_cb_e77_2013a_11553329.json,1642,2,284,287,4,98825,Annual,large area of prospective upper cretaceous stratigraphy be cover with an extensive sand plain regolith over the majority of exploration tenement e08/2303 and the eastern half of e08/2359 these area be not suitable for prospect with surface geochemical sampling method or airborne and ground radiometric,0.00243605359317905,559,0.025035772,0,"Depending on the results of Phase 1, a Phase 2 exploration budget of AUD $2-3 million is recommended. Large areas of prospective upper Cretaceous stratigraphy are covered with an extensive sand plain regolith over the majority of exploration tenement E08/2303 and the eastern half of E08/2359. These areas are not suitable for prospecting with surface geochemical sampling methods or airborne and ground radiometrics. Further evaluation of these areas should be undertaken using available magnetic and gravity data sets and drilling of any identified targets.",,,,,"sand, regolith",,upper Cretaceous,"prospective, extensive, prospecting"
a095266_e31_961_2012a_11896510_31_33,a095266_e31_961_2012a_11896510.json,188,1,31,33,3,95266,Annual,the bottom of hole collar spoil sampling have identify the follow the au anomalism identify by drill be support by the au result obtain from the bottom of hole collar spoil assay,0.015957446808510637,372,0.10308089,0,Samples were collected by manual selection of 300-500g of the freshest available drill-chips located at the drill collar. The bottom of hole/collar spoil sampling has identified the following: The Au anomalism identified by drilling is supported by the Au results obtained from the bottom of hole/collar spoil assays. The sampling has acted as required due-diligence work.,,,,,,,,"anomalism, supported"
a085157_p16_2308_2009s_15032987_194_196,a085157_p16_2308_2009s_15032987.json,289,1,194,196,3,85157,Final Surrender,the model for the formation of this mineralization involve initial cataclysmic eruption of komatiite magma with very high effusion rate to allow a regional scale blanket of olivine cumulate to crystallise from a turbulently flowing sheet of lava,0.010380622837370242,518,0.16195665,0,"At Murrin Murrin, Eucalyptus and Bulong the ore host is smectite, while at Goongarrie, Cawse, Mt Margaret and Ravensthorpe, the ore host comprises variably siliceous goethite-kaolin-gibbsite. The model for the formation of this mineralization involves initial cataclysmic eruption of komatiite magma with very high effusion rates to allow a regional scale blanket of olivine cumulates to crystallise from a turbulently flowing sheet of lava. The flow probably had a similar scale to continental flood basalt eruptions.",,"Murrin Murrin, Bulong, Goongarrie, Ravensthorpe","smectite, goethite, kaolin, gibbsite, olivine",,"komatiite, basalt",,,mineralization
a073458_c130_2005_2006a_14786771_649_651,a073458_c130_2005_2006a_14786771.json,653,1,649,651,3,73458,Annual,the au anomalism be host in oxidised quartz sericite schist with no obvious sign of mineralisation,0.004594180704441043,452,0.6554599,1,"The DeCourcey South RAB assay results were generally low but slightly elevated Au (4m @ 68ppb) from 12m in DSRB-0004. The Au anomalism was hosted in oxidised quartz-sericite schist with no obvious signs of mineralisation. Slightly elevated multi-element results were returned from several holes (~ 500-1000ppm As and 29ppm Sb), but are interpreted to be the result of supergene enrichment in thin shale units present throughout the sedimentary package.",,,"quartz, sericite",,"schist, shale",,,"anomalism, mineralisation"
a087803_e63_1135_2010a_16169597_47_50,a087803_e63_1135_2010a_16169597.json,93,2,47,50,4,87803,Annual,the cuu be the thick and contain a succession of ultramafic differentiate with basal olivine peridotite which be a typical host for nickel sulphide mineralisation the euu consist of thin discontinuous volcanic flow and may also host minor nickel sulphide mineralisation,0.04301075268817205,562,0.025590277999999998,0,"Three ultramafic units are recognised in the Emily Ann Maggie Hays area; the Western Ultramafic (WUU), the Central Ultramafic (CUU) and the Eastern Ultramafic (EUU). The CUU is the thickest and contains a succession of ultramafic differentiates with basal olivine peridotite which is a typical host for nickel sulphide mineralisation. The EUU consists of thin discontinuous volcanic flows and may also host minor nickel sulphide mineralisation. The WUU is thicker and more persistent than the EUU and typical nickel sulphide host rock types have been identified.",,Maggie Hays,"olivine, nickel, sulphide, nickel, sulphide, nickel, sulphide",,"peridotite, host rock",,,"mineralisation, mineralisation"
a082655_c82 2007 annual report 2009_10777582_585_587,a082655_c82 2007 annual report 2009_10777582.json,2949,1,585,587,3,82655,Annual,comm that purpose be a significant factor in determine the scope and comm level of the service be offer to the client,0.001017293997965412,898,0.8254984000000001,1,"2016 Page 38 COMM ALTITUDE COEFFICIENTS COMM TOTAL COUNT -0.0074 COMM POTASSIUM -0.0097 COMM URANIUM -0.0084 COMM THORIUM -0.0074 COMM SENSITIVITY COEFFICIENTS AT 50 m COMM TOTAL COUNT 39.09 (cps/(nGy/h) COMM POTASSIUM 142.25 (cps/%) COMM URANIUM 11.13 (cps/ppm) COMM THORIUM 8.13 (cps/ppm) COMM - COMM DISCLAIMER COMM - COMM It is Fugro Airborne Surveys understanding that the data provided to COMM the client is to be used for the purpose agreed between the parties. COMM That purpose was a significant factor in determining the scope and COMM level of the Services being offered to the Client. Should the purpose COMM for which the data is used change, the data may no longer be valid or COMM appropriate and any further use of, or reliance upon, the data in COMM those circumstances by the Client without Fugro Airborne Survey's COMM review and advice shall be at the Client's own or sole risk.",,,,"URANIUM, URANIUM",,,,significant
a098691_binti binti_annual report 2013_13780191_2_4,a098691_binti binti_annual report 2013_13780191.json,252,3,2,4,3,98691,Annual,the small historical working or record high grade gold production occur in area of outcrop and be develop on steeply west dip quartz vein within a nnw shear zone recent rock chip sampling and geological observation confirm gold mineralisation in narrow quartz stringer and stock work secondary shearing in outcrop be measure to be orientate in a wnw orientation and have the potential to provide a fluid pathway for gold bearing fluid,0.011904761904761904,451,0.15302734,0,The small historical working or recorded high-grade gold production occur in areas of outcrop and are developed on steeply west dipping quartz veins within a NNW shear zone. Recent rock-chip sampling and geological observation confirm gold mineralisation in narrow quartz stringers and stock-work. Secondary shearing in outcrop is measured to be orientated in a WNW orientation and has the potential to provide a fluid pathway for gold bearing fluids.,,,"gold, gold, quartz, gold",,quartz veins,,,"mineralisation, potential"
a087807_e77_1153_fsr_2010_16247021_84_86,a087807_e77_1153_fsr_2010_16247021.json,109,2,84,86,3,87807,Final Surrender,the nickel potential of the central ultramafic unit have not be test in historic exploration the nickel potential be highlight after recent exploration by gryphon minerals ltd gryphon which drill an anomaly on the same geological contact as be preserve on e77/1153,0.027522935779816515,409,0.45947725,0,"The nickel potential of the central ultramafic unit has not been tested in historic exploration. The nickel potential is highlighted after recent exploration by Gryphon Minerals Ltd (Gryphon) which drilled an EM anomaly on the same geological contact as is preserved on E77/1153. Gryphon reported 40 metres of disseminated sulphide and up to 4 metres of massive sulphide, including pyrrhotite and pentlandite.",,,"nickel, nickel, sulphide, sulphide, pyrrhotite, pentlandite",,,,,"potential, potential"
a097745_c96_2007_2012a_14643707_19_21,a097745_c96_2007_2012a_14643707.json,559,1,19,21,3,97745,Annual,possible site of significance may exist at wallangie soak as gnamma hole water collection pit but these hole be develop in a large granite outcrop that be locate several km outside of the greenstone belt be explore and outside of all mineral tenement holding,0.005366726296958855,591,0.043236174,0,"No heritage surveys have been carried out to date on the project. Possible sites of significance may exist at Wallangie Soak, as gnamma hole water collection pits, but these holes are developed in a large granite outcrop that is located several km outside of the greenstone belt being explored and outside of all mineral tenement holdings. 6.0 GEOLOGY 6.1 Regional Geology The tenements cover Archaean-age greenstone and granitic rocks over a strike extent of 25 km within the Hunt Range Greenstone Belt, which lies within the Southern Cross Province of the Yilgarn Block, Western Australia.",,"Southern Cross, Yilgarn Block, Western Australia",,,"granite, greenstone, granitic rocks","greenstone belt, Greenstone Belt",Archaean,"Possible, significance"
a085056_tw_ann_tech_2009_14765420_108_110,a085056_tw_ann_tech_2009_14765420.json,170,1,108,110,3,85056,Annual,table 1 tchintaby well example of mineralised historical drill holes.7 table 2 maximum assay result for tchintaby well surface sample .8 table 3 tchintaby well drill and plan rc holes.10 table 4 tchintaby well rc mineralise intersection .10 table 5 simplify drill log of hole etw009 at tchintaby well.11,0.017647058823529408,510,0.0077569093999999995,0,This formation resulted from an upward shallowing distal shelf succession (report). Table 1: Tchintaby Well Examples of Mineralised Historical Drill Holes.7 Table 2: Maximum Assay Results for Tchintaby Well Surface Samples .8 Table 3: Tchintaby Well Drilled and Planned RC Holes.10 Table 4: Tchintaby Well RC Mineralised Intersections .10 Table 5:Simplified Drill Log of Hole ETW009 at Tchintaby Well.11 The Ullawarra Formation varies in thickness from 100m north of the Talga Fault to 650m south of the fault.,,,,,,Ullawarra Formation,,
a082617_e57-699_702youanmi annual report to 16-03-09_12133292_134_136,a082617_e57-699_702youanmi annual report to 16-03-09_12133292.json,354,1,134,136,3,82617,Annual,associated pd pt ag anomalous soil sample,0.00847457627118644,97,0.9881494000000001,1,"No soil samples. Associated Pd, Pt, Ag anomalous soil samples. Soils not assayed for base metals.",,,,base metals,,,,anomalous
a073826_ww_2006_a_12079723_150_151,a073826_ww_2006_a_12079723.json,241,1,150,151,2,73826,Annual,mapping be complete between 7028400n and 7050400n a total of 4 potential high grade hematite target be define for rc drill testing i.e.,0.008298755186721992,293,0.57833856,1,"Mapping was completed between 7028400N and 7050400N, a total of 4 potential high grade Hematite targets were defined for RC drill testing i.e. Ground control was maintained via DGPS and aerial photography with mapping compiled on transparent master sheets each one covering 800m strike length.",,,Hematite,,,,,"potential, high grade"
a084837_y_e57_593_2009a_15448847_206_208,a084837_y_e57_593_2009a_15448847.json,210,1,206,208,3,84837,Annual,y_e57_593_2009a page 14 gravity survey and possible drill testing of the centre of a tertiary channel if outline by the gravity,0.014285714285714284,330,0.48762256,0,Other work recommended includes evaluating a second parallel zone approximately 300 m to the north defined by the airborne radiometric survey. Y_E57_593_2009A Page 14 Gravity survey and possible drill testing of the centre of a Tertiary channel if outlined by the gravity. It is 100% owned and operated by Aldershot Resources Ltd.,,,,,,,Tertiary,possible
a086410_hw_2010_annual_14671909_62_64,a086410_hw_2010_annual_14671909.json,113,1,62,64,3,86410,Annual,these tenement be prospective for gold,0.02654867256637168,401,0.77959096,1,Where outcrop is present and drilling has been carried out bedrock has been identified as primarily granite and felsic granulite and gneiss with some mafic granulite and gneiss and minor porphyry. These tenements are prospective for gold. 4.0 EXPLORATION 4.1 Previous Exploration No mining activity prior to grant to Quadrio Resources Pty Ltd has been recorded on the tenements covered in this report.,,,gold,,"bedrock, granite, felsic granulite, gneiss, mafic granulite, gneiss, porphyry",,,prospective
a089067_e25-388_3_report body_16143437_37_39,a089067_e25-388_3_report body_16143437.json,42,1,37,39,3,89067,Annual,so far no gold or nickel sulphide mineralisation target have be generate from the ground magnetic survey,0.07142857142857142,346,0.26262075,0,"Processed images indicate the magnetic results may not be mapping bedrock lithologies. So far, no gold or nickel sulphide mineralisation targets have been generated from the ground magnetic survey. 9.0 Conclusions and Recommendations The ground magnetic survey is the first exploration activity undertaken on the tenement by HJH Nominees Pty Ltd.",,,"gold, nickel, sulphide",,bedrock,,,mineralisation
